name,lat,lon
"  JARDIM DA PENHA, Brazil","lat=""-20.2850907"" lon=""-40.2960984""","lat=""-20.2850907"" lon=""-40.2960984"""
"  MATA DA PRAIA, Brazil","lat=""-20.2751185"" lon=""-40.2922686""","lat=""-20.2751185"" lon=""-40.2922686"""
"  PONTAL DE CAMBURI, Brazil","lat=""-20.2868594"" lon=""-40.302623""","lat=""-20.2868594"" lon=""-40.302623"""
"  REPBLICA, Brazil","lat=""-22.25"" lon=""-47.483333""","lat=""-22.25"" lon=""-47.483333"""
"  GOIABEIRAS, Brazil","lat=""-15.5990839"" lon=""-56.1080006""","lat=""-15.5990839"" lon=""-56.1080006"""
"  ANDORINHAS, Brazil","lat=""-20.287964"" lon=""-40.3056718""","lat=""-20.287964"" lon=""-40.3056718"""
"  CONQUISTA, Brazil","lat=""-14.8619237"" lon=""-40.8445346""","lat=""-14.8619237"" lon=""-40.8445346"""
"  NOVA PALESTINA, Brazil","lat=""-20.272615"" lon=""-40.3280037""","lat=""-20.272615"" lon=""-40.3280037"""
"  DA PENHA, Brazil","lat=""-20.297582"" lon=""-40.310777""","lat=""-20.297582"" lon=""-40.310777"""
"  TABUAZEIRO, Brazil","lat=""-20.2944114"" lon=""-40.322262""","lat=""-20.2944114"" lon=""-40.322262"""
"  BENTO FERREIRA, Brazil","lat=""-20.3142092"" lon=""-40.3079257""","lat=""-20.3142092"" lon=""-40.3079257"""
"  SO PEDRO, Brazil","lat=""-22.5302548"" lon=""-47.9614096""","lat=""-22.5302548"" lon=""-47.9614096"""
"  SANTA MARTHA, Brazil","lat=""-22.948371"" lon=""-43.193533""","lat=""-22.948371"" lon=""-43.193533"""
"  SO CRISTVO, Brazil","lat=""-11.0089963"" lon=""-37.2046907""","lat=""-11.0089963"" lon=""-37.2046907"""
"  MARUPE, Brazil","lat=""-20.296341"" lon=""-40.31971""","lat=""-20.296341"" lon=""-40.31971"""
"  GRANDE VITRIA, Brazil","lat=""-20.3331372"" lon=""-40.3869728""","lat=""-20.3331372"" lon=""-40.3869728"""
"  SO BENEDITO, Brazil","lat=""-4.0449071"" lon=""-40.8651372""","lat=""-4.0449071"" lon=""-40.8651372"""
"  ILHA DAS CAIEIRAS, Brazil","lat=""-20.2774151"" lon=""-40.3350205""","lat=""-20.2774151"" lon=""-40.3350205"""
"  SANTO ANDR, Brazil","lat=""-23.6742228"" lon=""-46.5436003""","lat=""-23.6742228"" lon=""-46.5436003"""
"  SOLON BORGES, Brazil","lat=""-20.2613736"" lon=""-40.2954601""","lat=""-20.2613736"" lon=""-40.2954601"""
"  BONFIM, Brazil","lat=""2.7561804"" lon=""-60.1184797""","lat=""2.7561804"" lon=""-60.1184797"""
